hash_key,model,dist,scorer,dataset
003b57516f477f2e106eed301453360691f2c460d77f85c5be335c9c4f79fbc9,xpath_text,0.7637669592976856,levenshtein,cetd
004898ee62c13fb02dc731dcd1c085c16eb65fcac79096783d5e20229daebd37,xpath_text,0.6341463414634146,levenshtein,cetd
004d345c9aa92494303c3e778d45a813883b0652379becef19c936d039ead8ce,xpath_text,0.5703125,levenshtein,cetd
00972cd0338fef7dc9496d63336970d83317e5e320c94b7f8c822973b491c7ac,xpath_text,0.8275630252100841,levenshtein,cetd
00e4b8036c3ae7fe74aa2b83a39b1a100196be9261142466bfe735c9e17956d0,xpath_text,0.8039702233250621,levenshtein,cetd
0106b8018122b89693143deecc79ff181ee746977cae69faf46cf7a51238c775,xpath_text,0.7978723404255319,levenshtein,cetd
011604e6498be280d40fc4aab31cce28db3623fd7989cd27734bdafc95c7ffed,xpath_text,0.8898575995350189,levenshtein,cetd
0135b411da54f735e41f0ae462d3c8dc443a5c7a37a25c758cde9937a3b188ea,xpath_text,0.7585324232081911,levenshtein,cetd
0142c003e975a80f42718a8942336b5322493aec272f670b994bd7d3ad658ac7,xpath_text,0.8547368421052631,levenshtein,cetd
0148028bb3cd3a6266f8a685bd9e63a763700c403e98b2713bd58ba7f7aaab50,xpath_text,0.5797101449275363,levenshtein,cetd
014e1be42c371f8ade847d2401034c91b8c692082b83dcfbaa362eed0dfefb2b,xpath_text,0.7395912187736563,levenshtein,cetd
01e37a118128d05c98e4e6da5df608fc2ebcee656eedfed1c6168ecba9dfbf11,xpath_text,0.8383181621153013,levenshtein,cetd
025a8b1b8f4575fa19cf5b5affbb06636a12193679edf8d5bfd0f7908aac8ec7,xpath_text,0.7777403035413153,levenshtein,cetd
02c3c117c6d0dfec49ab8070db3ee599a1f58d26f18dd03fc7eec5572fcf9eb1,xpath_text,0.692524682651622,levenshtein,cetd
0343388bb76e96796fda15366c3749e4a2e665154aba9c5d1a89057f218c37ef,xpath_text,0.90955091714105,levenshtein,cetd
03df6a8507ad906a262be5b8c1496cf7e2e3f1ba305fb0812c117282ce396e68,xpath_text,0.683702441794435,levenshtein,cetd
0490dd2af925282cfab9ee1db8c93aeea1a585a0c5c2744c59ac7ca2b5864199,xpath_text,0.5809708737864078,levenshtein,cetd
04c114bbff17bbeab9aa44e14acfb8274a555174b4c82c33e254d86a210bc332,xpath_text,0.8281975517095821,levenshtein,cetd
04f82fa4413318dbbb5fd48145af13e0c353714422718f642225946875d3ab95,xpath_text,0.847926267281106,levenshtein,cetd
051b7a136051cf5cabba74c315fb5861a8e1a27456d2e8fc992c5c4b19813268,xpath_text,0.8421949556918882,levenshtein,cetd
053c92611f9deb146f8e66463ebfca06c20131f26b55f958599f74117f571c3e,xpath_text,0.8822634076461635,levenshtein,cetd
057208cb4eee71332d859bbd7f2071b16c21f8afb9e22e227e1d277fd19b4ce9,xpath_text,0.25915080527086387,levenshtein,cetd
0572723fd1494c08add651e9a40a6ad603dcacce60562fb531a4fd4f87291925,xpath_text,0.8994219653179191,levenshtein,cetd
05867dbd31bf9c25b5bdd85bca6b3836caa715165889526dcfbca83c2c945c40,xpath_text,0.8767326732673267,levenshtein,cetd
05cc1786b328e29a4f449d70a86ef58400a9cad62a8c7ee4a3347fc21f8f8d2d,xpath_text,0.9047304730473047,levenshtein,cetd
064d4d611718e903a8def4242514c4edc25e61722fb2f0cb9e199aef56fddd1f,xpath_text,0.8662989230365117,levenshtein,cetd
0766cf5c6e7888888a196131d41fa1ddb5476d9fbf6196403ecc0ab9e9496dc7,xpath_text,0.9434241706161137,levenshtein,cetd
0793379985a690d53b7a038585655cfb7c5d12a0695b48be80b3b9fc5e8f23e1,xpath_text,0.6415963161933999,levenshtein,cetd
07a90804bf9fcdb965650c34ab67bf481546eb340d92acfff9ea91e0adcab0ea,xpath_text,0.795299938157081,levenshtein,cetd
081d1fe400d065e3e10082c1d015277963736921725a75f93d050966e5a7227f,xpath_text,0.7580843225542366,levenshtein,cetd
086801659c089a70893b2db4adf4c8b61836c309e919a5e73b327a9534db8154,xpath_text,0.578494623655914,levenshtein,cetd
0924ddb80a5e976d91ee85799e53d345335e6ce7e43f563e0b0edb7c4779552f,xpath_text,0.8356401384083045,levenshtein,cetd
0a1cfc87b8e95bb22790f70ee62c389c637a7410c1e495e6679849d8ba41a33c,xpath_text,0.5886627906976745,levenshtein,cetd
0a5ffd5daffd28422649adc2be12f00d4fa878a3a5fea31dcfb40d5c31511c90,xpath_text,0.7275341480948958,levenshtein,cetd
0a634f4cf68dc68cfd6c39d5ed6e987010016017b4315f30f327ac951e5adb90,xpath_text,0.8819924370843656,levenshtein,cetd
0a8eeabc2d8126c768e21a834d89ef04619cd0126633d6c874a859c71e412712,xpath_text,0.5896621426508808,levenshtein,cetd
0b3a17cbb2b8e578f99b5e78c67f150c7142be80e82a9f146a8521684066dc3d,xpath_text,0.7831168831168831,levenshtein,cetd
0b41938e4f74707cc97236787dfaa87ab10f64f6ce5395a5cfcc59a2f0487970,xpath_text,0.5804924242424243,levenshtein,cetd
0b70bb25c89d808ce6a285bee601d7049bc95336e398bcfab65768968efce4d1,xpath_text,0.902948402948403,levenshtein,cetd
0b9cba4b114cf07df422773d1267c295c7d2a4457f4e8eb580859d97f47c3659,xpath_text,0.741976893453145,levenshtein,cetd
0bb07ca097b4a9ae68ec7b9f58a57650fa381dbde6c909daec9745089186a700,xpath_text,0.3172533681008257,levenshtein,cetd
0be11b6885c0a147b51a7961c401f763fddfaa0b1eeec2e218b6d5bc49e96786,xpath_text,0.8318296643810899,levenshtein,cetd
0c89b436922f78e4c54d423ffb32733a3ee2ad216c2b1bf7fb8e3b0a658dc460,xpath_text,0.8587528174305034,levenshtein,cetd
0d8abb7440bed19dc9c7d35fcb5dd7d551b7355532a2f9740cc554b93ffb5476,xpath_text,0.9054524361948956,levenshtein,cetd
0df0f33a9e89ec7a799943dfdbf50890cc012542b046cd62f7eb4c3e67447d98,xpath_text,0.6029962546816479,levenshtein,cetd
0e6c781d32060d70ec116c44a5be2d21403b02258b9994fd50f4ffbcd2b844b9,xpath_text,0.6970684039087948,levenshtein,cetd
0e9a088086c0b1e95d4507417d761e8256bcc203dc68c01d008a59409442b113,xpath_text,0.7735665694849369,levenshtein,cetd
